event_index,crate7_trigger,crate7_tcp_fill,crate7_gpu_fill,crate8_trigger,crate8_tcp_fill,crate8_gpu_fill,filename
30239,795444,9011,9011,798004,11571,11571,run00322_00031.mid.lz4
30240,795445,9012,9012,798005,11572,11572,run00322_00031.mid.lz4
30241,795446,9013,9013,798006,11573,11573,run00322_00031.mid.lz4
30242,795447,9014,9014,798007,11574,11574,run00322_00031.mid.lz4
30243,795448,9015,9015,798008,11575,11575,run00322_00031.mid.lz4
30244,795449,9016,9016,798009,11576,11576,run00322_00031.mid.lz4
30245,795450,9017,9017,798010,11577,11577,run00322_00031.mid.lz4
30246,795451,9018,9018,798011,11578,11578,run00322_00031.mid.lz4
30247,795452,9019,9019,798012,11579,11579,run00322_00031.mid.lz4
30248,795453,9020,9020,798013,11580,11580,run00322_00031.mid.lz4
30249,795454,9021,9021,798014,11581,11581,run00322_00031.mid.lz4
30250,795455,9022,9022,798015,11582,11582,run00322_00031.mid.lz4
30251,795456,9023,9023,798016,11583,11583,run00322_00031.mid.lz4
30252,795457,9024,9024,798017,11584,11584,run00322_00031.mid.lz4
30253,795458,9025,9025,798018,11585,11585,run00322_00031.mid.lz4
30254,795459,9026,9026,798019,11586,11586,run00322_00031.mid.lz4
30255,795460,9027,9027,798020,11587,11587,run00322_00031.mid.lz4
30256,795461,9028,9028,798021,11588,11588,run00322_00031.mid.lz4
30257,795462,9029,9029,798022,11589,11589,run00322_00031.mid.lz4
30258,795463,9030,9030,798023,11590,11590,run00322_00031.mid.lz4
30259,795464,9031,9031,798024,11591,11591,run00322_00031.mid.lz4
30260,795465,9032,9032,798025,11592,11592,run00322_00031.mid.lz4
30261,795466,9033,9033,798026,11593,11593,run00322_00031.mid.lz4
30262,795467,9034,9034,798027,11594,11594,run00322_00031.mid.lz4
30263,795468,9035,9035,798028,11595,11595,run00322_00031.mid.lz4
30264,795469,9036,9036,798029,11596,11596,run00322_00031.mid.lz4
30265,795470,9037,9037,798030,11597,11597,run00322_00031.mid.lz4
30266,795471,9038,9038,798031,11598,11598,run00322_00031.mid.lz4
30267,795472,9039,9039,798032,11599,11599,run00322_00031.mid.lz4
